Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount
100 Bullets Vol. 4: A Foregone Tomorrow,"In the fourth collection of this series, Agent Graves continues to offer immunity to everyday people to carry out their innermost desires of vengeance with the 100 bullets that he supplies. But as these self-serving manipulations take place, pieces of the mystery of the Minutemen and the organization that created them start to come together, and we discover to the research and conspiracy theories of Mr. Branch. As more is revealed about the series' main characters, the true meaning and importance of the conflict between Graves and the Trust starts to emerge. Collects issues #20-30.",['Brian Azzarello'],http://books.google.com/books/content?id=AWV-AgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=AWV-AgAAQBAJ&printsec=frontcover&dq=100+Bullets+Vol.+4:+A+Foregone+Tomorrow&hl=&cd=1&source=gbs_api,Vertigo,2004-10-01,https://play.google.com/store/books/details?id=AWV-AgAAQBAJ&source=gbs_api,['Comics & Graphic Novels'],2.0
1001 Albums You Must Hear Before You Die,"1001 Albums You Must Hear Before You Die is a highly readable list of the best, the most important, and the most influential pop albums from 1955 through 2003. Carefully selected by a team of international critics, each album is a groundbreaking work seminal to the understanding and appreciation of music from the 1950s to the present. Included with each entry are production details and credits as well as reproductions of original album cover art. Perhaps most important of all, each album featured comes with an authoritative description of its importance and influence. Among the critics involved in selecting the list are some of the best known music reviewers and commentators, including Theunis Bates (music writer for Time and urban editor at worldpop.com), Jon Harrington (staff writer at MTV), Seth Jacobson (writer for Dazed & Confused), as well as many others.",['Robert Dimery'],http://books.google.com/books/content?id=XE5OEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=XE5OEAAAQBAJ&dq=1001+Albums+You+Must+Hear+Before+You+Die&hl=&cd=1&source=gbs_api,Rizzoli Publications,2006-02-07,http://books.google.com/books?id=XE5OEAAAQBAJ&dq=1001+Albums+You+Must+Hear+Before+You+Die&hl=&source=gbs_api,['Music'],1.0
1001 Ways to Market Your Books: For Authors and Publishers (Book Marketing Series),"Offers advice on planning a successful marketing strategy for one's book, with information on distributors, bookstores, Internet marketing, and school and library marketing.",['John Kremer'],http://books.google.com/books/content?id=2ZKXQAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=2ZKXQAAACAAJ&dq=1001+Ways+to+Market+Your+Books:+For+Authors+and+Publishers+(Book+Marketing+Series)&hl=&cd=1&source=gbs_api,,1998,http://books.google.com/books?id=2ZKXQAAACAAJ&dq=1001+Ways+to+Market+Your+Books:+For+Authors+and+Publishers+(Book+Marketing+Series)&hl=&source=gbs_api,['Business & Economics'],
1001 winning chess sacrifices and combinations (Chess lovers library),,['Fred Reinfeld'],,http://books.google.com/books?id=rSgTnwEACAAJ&dq=1001+winning+chess+sacrifices+and+combinations+(Chess+lovers+library)&hl=&cd=1&source=gbs_api,,1955,http://books.google.com/books?id=rSgTnwEACAAJ&dq=1001+winning+chess+sacrifices+and+combinations+(Chess+lovers+library)&hl=&source=gbs_api,['Chess'],1.0
"101+ Complaint Letters That Get Results, 2E: Resolve Common Disputes Quickly and Easily","The Model Rules of Professional Conduct provides an up-to-date resource for information on legal ethics. Federal, state and local courts in all jurisdictions look to the Rules for guidance in solving lawyer malpractice cases, disciplinary actions, disqualification issues, sanctions questions and much more. In this volume, black-letter Rules of Professional Conduct are followed by numbered Comments that explain each Rule's purpose and provide suggestions for its practical application. The Rules will help you identify proper conduct in a variety of given situations, review those instances where discretionary action is possible, and define the nature of the relationship between you and your clients, colleagues and the courts.","['American Bar Association. House of Delegates', 'Center for Professional Responsibility (American Bar Association)']",http://books.google.com/books/content?id=dPucxP3FSiYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=dPucxP3FSiYC&printsec=frontcover&dq=101++Complaint+Letters+That+Get+Results,+2E:+Resolve+Common+Disputes+Quickly+and+Easily&hl=&cd=1&source=gbs_api",American Bar Association,2007,"http://books.google.com/books?id=dPucxP3FSiYC&dq=101++Complaint+Letters+That+Get+Results,+2E:+Resolve+Common+Disputes+Quickly+and+Easily&hl=&source=gbs_api",['Law'],
"11. St. Gregory the Great, Pastoral Care (Ancient Christian Writers)",St. Gregory deals with the great responsibility of the episcopal office and its onerous nature. +,"['Grégoire I,', 'Pope Gregory I', 'Papa Gregorius I.', 'Walter J. Burghardt', 'T. C. Lawler', 'Saint Gregory of Nyssa']",http://books.google.com/books/content?id=IUQNAQAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=IUQNAQAAIAAJ&printsec=frontcover&dq=11.+St.+Gregory+the+Great,+Pastoral+Care+(Ancient+Christian+Writers)&hl=&cd=1&source=gbs_api",Paulist Press,1950,https://play.google.com/store/books/details?id=IUQNAQAAIAAJ&source=gbs_api,['Biography & Autobiography'],1.0
1106 Grand Boulevard,"."" . . The dramatized, fictional story of the author's sister wins the prize for the most hair-raising soap opera that I have ever read. The 64-year-spanning story . . . with a beautiful woman in the lead (takes readers) from one glamorous location and wealthy man to another with hypnotic speed in order to cram in the entire tale of lust, power, money, and the search for true love."" -- Paul Kyriazi, Hollywood movie director.",['Betty Dravis'],http://books.google.com/books/content?id=oj3dAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=oj3dAAAACAAJ&dq=1106+Grand+Boulevard&hl=&cd=1&source=gbs_api,Just My Best Incorporated,2006-04-01,http://books.google.nl/books?id=oj3dAAAACAAJ&dq=1106+Grand+Boulevard&hl=&source=gbs_api,['Fiction'],
1491: New Revelations of the Americas Before Columbus,"Hoe de wereld zich ontwikkelde na de ontdekking van Amerika De reizen van Columbus vormden het begin van een bijzondere uitwisseling van flora en fauna tussen Eurazië en Noord- en Zuid-Amerika. Zo vonden onder meer tomaten, aardappelen, maïs, zilver en rubber hun weg naar Eurazië, en omgekeerd zijde, paarden, graan, koffie, appels - en slaven niet te vergeten - naar Noord- en Zuid-Amerika. Een minder welkome uitwisseling was uiteraard die van insecten, bacteriën en virussen. Charles Mann laat zien dat deze zogeheten Columbian Exchange heeft gezorgd voor de opkomst van Europa, de ondergang van het Chinese keizerrijk en de verstoring van de ecologie in Afrika. Met 1493 heeft bestsellerauteur Charles Mann de belangrijkste biologische gebeurtenis sinds het uitsterven van de dinosauriërs onder de aandacht van een groot publiek weten te brengen. Charles Mann is correspondent voor The Atlantic en Science, en schrijft onder meer voor Fortune, The NewYork Times en The Washington Post. Zijn boek 1491.De ontdekking van precolumbiaans Amerika was een groot internationaal succes. Manns werk is vele malen bekroond. 'Het is Mann gelukt een gecompliceerd verhaal helder te vertellen (...).' - The New York Times '1493 is een meeslepend boek, dat de vele economische, agrarische en biologische kruisbestuivingen beschrijft die plaatsvonden nadat Columbus toevallig Amerika had ontdekt.' - TheWall Street Journal '(...) een bijzonder onderhoudend en evenwichtig boek.' - New Scientist '(...) boordevol interessante inzichten, wetenswaardigheden en onvoorziene, adembenemende ellende.' - NRCHandelsblad '(...) een uitermate rijk boek.' - Trouw '(...) een helder en onderhoudend verhaal over de mens en zijn medeorganismen (...).' - De Standaard '(...) wérkelijk een fascinerende, nieuwe wereld.' - De Pers",['Charles C. Mann'],http://books.google.com/books/content?id=J2MeCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=J2MeCgAAQBAJ&printsec=frontcover&dq=1491:+New+Revelations+of+the+Americas+Before+Columbus&hl=&cd=1&source=gbs_api,Nieuw Amsterdam,2013-02-20,https://play.google.com/store/books/details?id=J2MeCgAAQBAJ&source=gbs_api,['History'],
"150 Favorite Crochet Designs (Dover Knitting, Crochet, Tatting, Lace)","A wonderful collection of classic heirloom-quality patterns selected from vintage thread company leaflets for tablecloths, bedspreads, doilies, edgings, and more. Complete list of materials and detailed instructions are included. 140 illustrations.",['Mary Carolyn Waldrep'],http://books.google.com/books/content?id=fzbDAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=fzbDAgAAQBAJ&printsec=frontcover&dq=150+Favorite+Crochet+Designs+(Dover+Knitting,+Crochet,+Tatting,+Lace)&hl=&cd=1&source=gbs_api",Courier Corporation,2012-05-24,https://play.google.com/store/books/details?id=fzbDAgAAQBAJ&source=gbs_api,['Crafts & Hobbies'],2.0
"16 Lighthouse Road (Cedar Cove, Book 1)","The protagonist, Olivia Lockhart, is a woman judge, who denies a divorce in court, and in her small town of Cedar Cove, makes big news because of the ruling.",['Debbie Macomber'],http://books.google.com/books/content?id=D7BgGSKwlV0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=D7BgGSKwlV0C&printsec=frontcover&dq=16+Lighthouse+Road+(Cedar+Cove,+Book+1)&hl=&cd=1&source=gbs_api",MIRA,2013-05-28,"http://books.google.com/books?id=D7BgGSKwlV0C&dq=16+Lighthouse+Road+(Cedar+Cove,+Book+1)&hl=&source=gbs_api",['Fiction'],35.0
1632 (The Assiti Shards),"When part of West Virginia is transported to 1632 East Germany during the Thirty Year's War, the new citizens repel marauding mercenaries, house German refugees, determine citizenship, and establish relationships and identities.",['Eric Flint'],http://books.google.com/books/content?id=5Djy3VCqI20C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=5Djy3VCqI20C&printsec=frontcover&dq=1632+(The+Assiti+Shards)&hl=&cd=1&source=gbs_api,Baen Books,2000,http://books.google.com/books?id=5Djy3VCqI20C&dq=1632+(The+Assiti+Shards)&hl=&source=gbs_api,['Fiction'],39.0
1634: The Galileo Affair (Assiti Shards),"The Epic Struggle of Freedom and Justice Against the Tyrannies of the 17th Century Continues, as European Cunning Meets American Courage! The Thirty Years War continues to ravage 17th century Europe, but a new force is gathering power and influence: the Confederated Principalities of Europe, an alliance between Gustavus Adolphus, King of Sweden, and the West Virginians from the 20th century led by Mike Stearns who were hurled centuries into the past by a mysterious cosmic accident. The democratic ideals of the CPE have aroused the implacable hostility of Cardinal Richelieu, effective ruler of France, who has moved behind the scenes, making common cause with old enemies to stop this new threat to the privileged and powerful. But the CPE is also working in secret. A group of West Virginians have secretly traveled to Venice where their advanced medical knowledge may prevent the recurrence of the terrible plague which recently killed a third of the city-state's population. At the same time, the group hopes to establish commercial ties with Turkey's Ottoman Empire, then at the height of its power. And, most important, they hope to establish private diplomatic ties with the Vatican, exploiting Pope Urban VIII's misgivings about the actions of Richelieu and the Hapsburgs. But a Venetian artisan involved with the West Virginians may cause all their plans to come to naught. Having read 20th century history books of the period, he has become determined to rescue Galileo from his trial for heresy. The Americans are divided on whether to help him or stop him¾and whether he succeeds or fails, the results may be catastrophic for the CPE. At the publisher's request, this title is sold without DRM (Digital Rights Management). ""A rich complex alternate history with great characters and vivid action. A great read and an excellent book."" ¾David Drake ""Gripping . . . depicted with power!"" ¾Publishers Weekly "". . . formidable historiography, wit, balance (there are few stupid bad guys¾well, England's Charles I), intelligently ferocious women, and mouth-watering displays of alternate technology . . . [many readers] will turn every page and cry for more!"" ¾Booklist ""[Flint takes] historic speculation to a new level in a tale that combines accurate historical research with bold leaps of the imagination. Fans of alternate history and military sf should enjoy this rousing tale of adventure and intrigue."" ¾Library Journal","['Eric Flint', 'Andrew Dennis']",http://books.google.com/books/content?id=umV0CwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=umV0CwAAQBAJ&pg=PT571&dq=1634:+The+Galileo+Affair+(Assiti+Shards)&hl=&cd=1&source=gbs_api,Baen Publishing Enterprises,2004-04-01,https://play.google.com/store/books/details?id=umV0CwAAQBAJ&source=gbs_api,['Fiction'],7.0
1634: The Ram Rebellion (Assiti Shards),"As the Thirty Years War continues to ravage seventeenth-century Europe, the West Virginians from twentieth-century America enter into an alliance with Gustavus Adolphus, King of Sweden, to promote a revolution among the peasants who seek freedom from the tyrannical nobility of the period.","['Eric Flint', 'Virginia Easley DeMarce']",http://books.google.com/books/content?id=EfhUP6q19MkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=EfhUP6q19MkC&printsec=frontcover&dq=1634:+The+Ram+Rebellion+(Assiti+Shards)&hl=&cd=1&source=gbs_api,Baen Books,2006-05-01,http://books.google.nl/books?id=EfhUP6q19MkC&dq=1634:+The+Ram+Rebellion+(Assiti+Shards)&hl=&source=gbs_api,['Fiction'],7.0
1812: The Rivers of War,"Eric Flint’s acclaimed 1634: The Galileo Affair was a national bestseller from one of the most talked-about voices in his field. Now, in this extraordinary new alternate history, Flint begins a dramatic saga of the North American continent at a dire turning point, forging its identity and its future in the face of revolt from within, and attack from without. In the War of 1812, U.S. troops are battling the British on the Canadian border, even as a fierce fight is being waged against the Creek followers of the Indian leader Tecumseh and his brother, known as The Prophet. In Europe, Napoleon Bonaparte’s war has become a losing proposition, and the British are only months away from unleashing a frightening assault on Washington itself. Fateful choices are being made in the corridors of power and on the American frontier. As Andrew Jackson, backed by Cherokee warriors, leads a fierce attack on the Creek tribes, his young republic will soon need every citizen soldier it can find. What if–at this critical moment–bonds were forged between men of different races and tribes? What if the Cherokee clans were able to muster an integrated front, and the U.S. government faced a united Indian nation bolstered by escaping slaves, freed men of color, and even influential white allies? Through the remarkable adventures of men who were really there–men of mixed race, mixed emotions, and a singular purpose–The Rivers of War carries us in this new direction, brilliantly transforming an extraordinary chapter of American history. With a cast of unforgettable characters–from James Monroe and James Madison to Sam Houston, Francis Scott Key, and Cherokee chiefs John Ross and Major Ridge–The Rivers of War travels from the battle of Horseshoe Bend to the battle of New Orleans, and brings every explosive moment to life. With exquisite attention to detail, an extraordinary grasp of history, and a storyteller’s gift for the dramatic, Flint delivers a bold, thought-provoking epic of enemies and allies, traitors and revolutionaries, and illuminates who we are as a nation, how we got here, and how history itself is made–and remade.",['Eric Flint'],http://books.google.com/books/content?id=Jh_bXRhR0awC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=Jh_bXRhR0awC&pg=PP1&dq=1812:+The+Rivers+of+War&hl=&cd=1&source=gbs_api,Del Rey,2010-03-31,http://books.google.com/books?id=Jh_bXRhR0awC&dq=1812:+The+Rivers+of+War&hl=&source=gbs_api,['Fiction'],3.0
1984,"Nieuwspraak, Big Brother, het vocabulaire uit 1984 is in onze taal opgenomen en een eigen leven gaan leiden. De roman van George Orwell uit 1949 over de strijd van Winston Smith, ambtenaar op het ministerie van Waarheid, tegen de alles doordringende Partij, en zijn gedoemde liefde voor Julia heeft niets van zijn literarie zeggingskracht verloren. In Orwells steeds weer herdrukte anti-utopie verkeert de wereld in de wurggreep van een systeem dat is gegrondvest op de verbreiding van angst, haat en wreedheid, en dat iedere vorm van persoonlijke vrijheid en indiviualiteit uitsluit. 1984 is onverminderd geldig als benauwend nauwkeurig blauwdruk van elk dictatoriaal regime.",['George Orwell'],http://books.google.com/books/content?id=gTx1AAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=gTx1AAAAQBAJ&printsec=frontcover&dq=1984&hl=&cd=1&source=gbs_api,Singel Uitgeverijen,2013-05-16,https://play.google.com/store/books/details?id=gTx1AAAAQBAJ&source=gbs_api,['Fiction'],
1st to Die: A Novel,"Four crime-solving friends face off against a killer in San Francisco in the Women's Murder Club novel that started James Patterson's thrilling series. Each one holds a piece of the puzzle: Lindsay Boxer is a homicide inspector in the San Francisco Police Department, Claire Washburn is a medical examiner, Jill Bernhardt is an assistant D.A., and Cindy Thomas just started working the crime desk of the San Francisco Chronicle. But the usual procedures aren't bringing them any closer to stopping the killings. So these women form a Women's Murder Club to collaborate outside the box and pursue the case by sidestepping their bosses and giving each other a hand. The four women develop intense bonds as they pursue a killer whose crimes have stunned an entire city. Working together, they track down the most terrifying and unexpected killer they have ever encountered--before a shocking conclusion in which everything they knew turns out to be devastatingly wrong. Full of the breathtaking drama and unforgettable emotions for which James Patterson is famous, 1st to Die is the start of the #1 New York Times bestselling series of crime thrillers.",['James Patterson'],http://books.google.com/books/content?id=mCd4BwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=mCd4BwAAQBAJ&printsec=frontcover&dq=1st+to+Die:+A+Novel&hl=&cd=1&source=gbs_api,Hachette UK,2001-03-05,http://books.google.nl/books?id=mCd4BwAAQBAJ&dq=1st+to+Die:+A+Novel&hl=&source=gbs_api,['Fiction'],3570.0
